"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","5","13","0","0"
"","Adding product to the cart","Jane sorts the products with available category","0","4","0","0","0"
"","Adding product to the cart","Jane searches for Adjustable wrench product","0","1","0","0","0"
"","Searching the products","Search for the products by keywords using Page Object Model","0","0","1","0","0"
"","Searching the products","Adding two products to cart and checkout with the order","0","1","0","0","0"
"","Searching the products","Adding pliers to cart and checkout with the order","0","1","0","0","0"
"","Searching the products","Search for the products by keywords","0","0","1","0","0"
"","Adding product to the cart","Jane Searches for Saw products","0","1","0","0","0"
"","Adding product to the cart","Jane searches for saw and filter hand saw","0","1","0","0","0"
"","Adding product to the cart","Jane searches for product that does not exits","0","1","0","0","0"
"","Adding product to the cart","Jane Searches for Saw products and check its prices","0","1","0","0","0"
